"review_id","review_description","rating","thumbs_up","review_date"
"81942ead-9d65-4b1a-8aa2-6e21ad5cf5e7","Still loving it!, the best!",5,0,"9/3/2024 0:23"
"c08cf1e7-45e4-43a3-b86f-51f7809b80a3","Convenient one stop app for all your passwords. Lock in with the app pw and update your other apps pws. Allows backup file to be created so that it can be used on your backup phone as well.",5,0,"8/19/2024 3:32"
"c8937763-e1b4-43b1-9e48-cde58be80111","Tried several password managers until I came across this one. it dies everything I need to store my passwords safely. No complications like the big name managers. I tried a bunch of those, and they were a waste of tme. And expensuve. For most people, this is all you need.",5,0,"7/30/2024 8:07"
"762baf4b-9109-4b4b-a42f-2291b0486faf","Ok thank you",5,0,"6/11/2024 17:20"
"275a2d36-6d77-44ae-9d7b-8be6ad614e3f","switched phones and none of my passwords came over to new phone, very upset.",1,0,"5/19/2024 19:20"
"b8a5df20-4fee-49c6-843b-3df705749740","I like the simplicity of this app. It does what I want without complex steps. Stores basic details for all your user details in one place.",4,1,"5/6/2024 4:16"
"e59f8058-e305-45c4-aad9-c0c7c619d22a","Excellent, secure and easy to use app. Please keep unlimited saves free, watching ads are worth it and there's not too many of them. Another app which I was using now only lets you save 5 on free version, ONLY because it is made by a well known and more established cyber security company that's been around for decades on PC. I'm assuming a few other more well known ones will be doing the same but this is just as secure as any of them. Love the thumbprint login feature too for quicker access.",5,0,"4/27/2024 3:44"
"990b1855-5596-4d35-8280-067a4c529720","Love this App. It's simple, secure, and great especially so you can access your Password's even if you're away from Wifi.",5,0,"3/1/2024 11:01"
"9c9153a8-32b2-4fc5-9d09-f5a29390840c","good app",4,0,"1/3/2024 22:41"
"a565430f-7b7a-4151-9d85-a6f93dd8389f","Easy to use and great for storing passwords. Good security.",5,0,"1/2/2024 21:37"
"8f6e2b11-8ca7-4409-b09f-776fd117c070","Great",5,0,"12/16/2023 7:35"
"f4546fb2-49e7-46ba-a6ed-eeb6bb92fc77","Only wish the app would autopilot and details visible without clicking on edit.",4,1,"10/14/2023 1:43"
"935b494e-7bbd-4b6d-9d05-3e488eb1ed2b","Gote",5,0,"9/22/2023 17:41"
"64f6d3fc-1143-42b5-9e4f-4a98c3179153","💯❤️",5,0,"9/22/2023 5:01"
"c9de8ef9-20d7-4654-b214-069ea16174d6","Still I Want An Update This Is Not A Safe App Without A Recovery For Password And Email Because Sometimes They Banned Me Without Any Better Reason",1,1,"9/18/2023 17:13"
"6308f390-5fc7-4caa-bd2f-267f4946e4d2","Good",5,0,"9/3/2023 19:26"
"7993024e-c837-4c61-a577-affa5a57d8c5","Great app, been using ot for a few years now and never had any issues. East to use and easy to sync passwords to each device.",5,0,"8/25/2023 2:37"
"1f439183-a0f3-40bd-ae69-a76ff1e879ff","Good",3,0,"8/8/2023 14:37"
"1d5409c3-372a-4c49-9583-301a13bb79bb","I've been using this app for years, and I absolutely love it. I love that we can finally send a backup to another source, so I don't have to keep downloading it and adding my passwords every time I switch phones.",5,9,"7/25/2023 17:53"
"302564a8-15db-413d-a166-e9286de1efd3","Easy to use. Great having to remember only one password. It needs to have more categories for easier queries.",4,3,"7/23/2023 20:11"
"99df5404-b4e4-4a06-aa5c-382a667d65bf","Love your app😘😘😘😘",5,0,"7/16/2023 2:08"
"d311db8e-a04a-48ea-9307-91fe7c91b868","Faina aplicația. E simplă și are tot ce am nevoie. Imi place că pot sa pun icoane personalizate si ca am auto backup",5,0,"7/11/2023 13:21"
"7377d064-c17b-422a-8da3-7d42a175f289","Very good",5,0,"6/30/2023 21:07"
"e62c5618-3d5e-4c38-8495-710b8f948ef6","Great app. Nice to have: Copy and paste without edit or direct auto fill of password.",5,5,"6/17/2023 13:05"
"ae1fa209-e345-4e10-8dab-3d3c85bc3ac5","Love this application",5,0,"5/29/2023 20:39"
"8eb79704-0fe1-4e0e-b15d-87a0614f6141","I downloaded this app so I wouldn't have to guess and make up one!! The very first thing I have to do with this when I open it is MAKE UP A PASSWORD!!!",1,1,"4/28/2023 10:35"
"9b655e5c-ed7b-42b8-a777-b1db85a028d7","Excellent",5,0,"4/22/2023 2:21"
"7227c565-6380-4bab-a185-9e75b175fba1","Been using for several years and I still love it!!! Easy to use, convenient, it's exactly what I needed one place to put all those irritating passwords that have to be changed every time I turn around. --- One app that hasn't changed in a long list of installs and uninstalled...this has stood the test of time.",5,5,"2/28/2023 21:28"
"dda87238-d4c4-4463-8d31-f8f76b81edee","Hello, can you please tell me how to recover the login password...I am totally locked out as I cant login and access other passwords. Thanks great work.",5,2,"1/7/2023 21:34"
"7df89e33-4fc1-4d36-9038-c726cea4f66a","Easy, user friendly & what i like the most, backup files can be saved in various ways",5,1,"1/2/2023 5:50"
"34b63e1b-d877-422d-b642-da50984cc4cc","Great for saving password",5,0,"12/29/2022 23:29"
"72bd8e04-fb56-4626-a3fc-a17e83bf5e2a","The initial problem of downloading my backup has been resolved though had a few issues that I managed to sort So I wanted a paper print out as I want to review and change some passwords but what used to be a 6 page print out is now 28+ pages as the conversion to PDF includes all the tags several times over plus some other data it did not used to this happens on both phones so is not a phone issue. Otherwise I am impressed get this bug squashed and I will buy the full version.",3,10,"12/28/2022 18:38"
"5f06fefc-907d-4294-994d-bceed8c7c2e0","Super useful! Not a single complain at all.",5,0,"12/27/2022 11:19"
"6822fb8c-3a28-4a64-ab5f-d0923c0626aa","Great",5,0,"12/19/2022 0:59"
"64c3ce2e-ea60-4b23-ac4e-dd9a43035c12","Really useful",5,0,"12/9/2022 16:09"
"f15534a2-1576-413c-b144-45596bc4feac","Fantastic!",5,0,"12/8/2022 21:48"
"7d64e4c2-e730-4976-b0ae-2555d64c6f38","The update threw me for a loop, but otherwise this app is a lifesaver.",5,0,"12/8/2022 18:55"
"33ac1dee-a328-4f0c-adc2-7a7ee7d3afe5","Do not install this app no support won't even respond to texts installed password option to manager pass it has locked me out after first time using that feature It seems I am stocked Writing this in hope someone sees it and maybe I get help Just discovered have no option to send this review",1,1,"12/7/2022 20:05"
"be9ecb47-83c9-4687-bd97-b406e27c02b0","I love this ap. All of my passwords in one place.",4,0,"12/5/2022 3:02"
